<<<<<<< HEAD
gender,Unnamed: 0,score,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit
both,105973.5,2.0,0.97323055,0.025684659,0.88977235,0.0186211565,0.59529155,0.00139767755,0.33347761499999995
female,102143.5,1.0,0.9887796,0.052024025,0.94007142,0.018784995,0.7002783800000001,0.0013974166499999999,0.48542045
male,102390.5,2.0,0.010568790500000001,1.0582636499999999e-05,0.0006312813499999999,0.00050548605,0.0020637469499999997,0.00013356548,0.00017682183
none,105665.0,2.0,0.00367609805,4.5278353e-06,0.000246689085,0.000243380515,0.00073271845,6.06237375e-05,8.7173765e-05
=======
gender,score,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit
both,2.0,0.973526625,0.0260150905,0.89071772,0.018758179,0.59724913,0.0014146546,0.33728868
female,1.0,0.98894686,0.052903652,0.94064593,0.018992838,0.7041455,0.0014154777,0.49138233
male,2.0,0.15616031,8.905691e-05,0.0129289165,0.00184753955,0.0281409525,0.00030484777,0.0018356007
none,2.0,0.05736213,3.6705707e-05,0.0046417294,0.0012797004,0.010008812,0.00021780012,0.0010817188
>>>>>>> ea79501ccf07af59d10c36b2a2acdd1e0f74bc6d
